"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"Sauterelle des grottes  ( Dolichopoda azami )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Rhaphidophoridae"	65968	"Dolichopoda azami"	"Dolichopoda azami Saulcy, 1893"	"Sauterelle des grottes, Dolichopode dauphinois"			"LC"	""									
"Dolichopode de la Tinée  ( Dolichopoda chopardi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Rhaphidophoridae"	65970	"Dolichopoda chopardi"	"Dolichopoda chopardi Baccetti, 1966"	"Dolichopode de la Tinée"			"DD"	""									
"Tétrix des plages  ( Paratettix meridionalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66026	"Paratettix meridionalis"	"Paratettix meridionalis (Rambur, 1838)"	"Tétrix des plages, Tétrix méridional"			"LC"	""									
"Tétrix calcicole  ( Tetrix bipunctata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66028	"Tetrix bipunctata"	"Tetrix bipunctata (Linnaeus, 1758)"	"Tétrix calcicole,  Criquet à capuchon, Tétrix biponctuée, Tétrix des sables"			"DD"	""									
"Tétrix caucasien  ( Tetrix bolivari )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66029	"Tetrix bolivari"	"Tetrix bolivari Saulcy in Azam, 1901"	"Tétrix caucasien, Tétrix des rizières"			"LC"	""									
"Tétrix des vasières  ( Tetrix ceperoi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66030	"Tetrix ceperoi"	"Tetrix ceperoi (Bolívar, 1887)"	"Tétrix des vasières"			"LC"	""									
"Tétrix riverain  ( Tetrix subulata )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66032	"Tetrix subulata"	"Tetrix subulata (Linnaeus, 1758)"	"Tétrix riverain, Tétrix subulé, Tétrix subulée,  Criquet à corselet allongé"			"LC"	""									
"Tétrix grisâtre  ( Tetrix tuerki )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66035	"Tetrix tuerki"	"Tetrix tuerki (Krauss, 1876)"	"Tétrix grisâtre"			"NT"	"pr. B2b (iii)"									
"Tétrix déprimé  ( Depressotetrix depressa )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Tetrigidae"	66039	"Depressotetrix depressa"	"Tetrix depressa Brisout de Barneville, 1848"	"Tétrix déprimé"			"LC"	""									
"*  Criquet rhodanien  ( Prionotropis rhodanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Pamphagidae"	66052	"Prionotropis rhodanica"	"Prionotropis rhodanica Uvarov, 1923"	"Criquet rhodanien, Miramelle des moraines, Criquet marcheur, Criquet pédestre"			"CR"	"B1, B2ab (i,ii,iii,iv)"			"NI3"	""					"Déterminante"
"-  ( Acrida ungarica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66057	"Acrida ungarica"	"Acrida ungarica (Herbst, 1786)"	""			"NT"	"pr. B2b (iii)"									
"Arcyptère bariolée  ( Arcyptera fusca )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66067	"Arcyptera fusca"	"Arcyptera fusca (Pallas, 1773)"	"Arcyptère bariolée, Poupée sibérienne, Criquet bariolé"			"LC"	""									
"Criquet des Ibères  ( Ramburiella hispanica )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66075	"Ramburiella hispanica"	"Ramburiella hispanica (Rambur, 1838)"	"Criquet des Ibères"			"LC"	""									
"Criquet marocain  ( Dociostaurus maroccanus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66080	"Dociostaurus maroccanus"	"Dociostaurus maroccanus (Thunberg, 1815)"	"Criquet marocain, Stauronote, Criquet ravageur"			"LC"	""									
"-  ( Dociostaurus jagoi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66082	"Dociostaurus jagoi"	"Dociostaurus jagoi Soltani, 1978"	""			"LC"	""									
"Criquet rouge-queue  ( Omocestus haemorrhoidalis )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66085	"Omocestus haemorrhoidalis"	"Omocestus haemorrhoidalis (Charpentier, 1825)"	"Criquet rouge-queue"			"LC"	""									
"Criquet des friches  ( Omocestus petraeus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66086	"Omocestus petraeus"	"Omocestus petraeus (Brisout de Barneville, 1856)"	"Criquet des friches"			"LC"	""									
"Criquet des garrigues  ( Omocestus raymondi )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66087	"Omocestus raymondi"	"Omocestus raymondi (Yersin, 1863)"	"Criquet des garrigues"			"LC"	""									
"Criquet noir-ébène  ( Omocestus rufipes )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66088	"Omocestus rufipes"	"Omocestus rufipes (Zetterstedt, 1821)"	"Criquet noir-ébène"			"LC"	""									
"Criquet verdelet  ( Omocestus viridulus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66090	"Omocestus viridulus"	"Omocestus viridulus (Linnaeus, 1758)"	"Criquet verdelet, Criquet smaragdin"			"LC"	""									
"Gomphocère fauve-queue  ( Stenobothrus grammicus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66095	"Stenobothrus grammicus"	"Stenobothrus grammicus Cazurro y Ruiz, 1888"	"Gomphocère fauve-queue,  Sténobothre cliqueteur, Sténobothre fauve-queue"			"EN"	"B2ab (ii,iii,iv)"									"Déterminante"
"Sténobothre occitan  ( Stenobothrus festivus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66099	"Stenobothrus festivus"	"Stenobothrus festivus Bolívar, 1887"	"Sténobothre occitan"			"VU"	"B2ab (ii,iii)"									
"Criquet de la Palène  ( Stenobothrus lineatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66100	"Stenobothrus lineatus"	"Stenobothrus lineatus (Panzer, 1796)"	"Criquet de la Palène, Sténobothre ligné, Criquet du Brachypode"			"LC"	""									
"Sténobothre cigalin  ( Stenobothrus fischeri )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66101	"Stenobothrus fischeri"	"Stenobothrus fischeri (Eversmann, 1848)"	"Sténobothre cigalin, Criquet de Fischer"			"LC"	""									
"Sténobothre bourdonneur  ( Stenobothrus nigromaculatus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66102	"Stenobothrus nigromaculatus"	"Stenobothrus nigromaculatus (Herrich-Schäffer, 1840)"	"Sténobothre bourdonneur, Criquet bourdonneur"			"LC"	""									
"Sténobothre nain  ( Stenobothrus stigmaticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66103	"Stenobothrus stigmaticus"	"Stenobothrus stigmaticus (Rambur, 1838)"	"Sténobothre nain"			"CR"	"B1,B2ab (i,ii,iv)"									
"Sténobothre alpin  ( Stenobothrus rubicundulus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66106	"Stenobothrus rubicundulus"	"Stenobothrus rubicundulus Kruseman & Jeekel, 1967"	"Sténobothre alpin"			"LC"	""									
"Sténobothre cottien  ( Stenobothrus cotticus )"	"Arthropoda"	"Insecta"	"Orthoptera"	"Acrididae"	66107	"Stenobothrus cotticus"	"Stenobothrus cotticus Kruseman & Jeekel, 1967"	"Sténobothre cottien"			"LC"	""									
