"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Tragosoma depsarium )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerambycidae"	223186	"Tragosoma depsarium"	"Tragosoma depsarium (Linnaeus, 1767)"	""													"Déterminante stricte"
"-  ( Cerophytum elateroides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cerophytidae"	223191	"Cerophytum elateroides"	"Cerophytum elateroides (Latreille, 1804)"	""													"Déterminante stricte"
"-  ( Abraeus granulum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	223562	"Abraeus granulum"	"Abraeus granulum Erichson, 1839"	""													"Déterminante stricte"
"-  ( Aeletes atomarius )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Histeridae"	223576	"Aeletes atomarius"	"Aeletes atomarius (Aubé, 1843)"	""													"Déterminante stricte"
"-  ( Orchesia luteipalpis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223964	"Orchesia luteipalpis"	"Orchesia luteipalpis Mulsant & Guillebeau, 1857"	""													"Déterminante stricte"
"-  ( Orchesia fasciata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223965	"Orchesia fasciata"	"Orchesia fasciata (Illiger, 1798)"	""													"Déterminante stricte"
"-  ( Abdera flexuosa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223973	"Abdera flexuosa"	"Abdera flexuosa (Paykull, 1799)"	""													"Déterminante stricte"
"Mélandre tribal  ( Hypulus quercinus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223985	"Hypulus quercinus"	"Hypulus quercinus (Quensel, 1790)"	"Mélandre tribal"													"Déterminante stricte"
"Mélandre à barbe  ( Melandrya barbata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223987	"Melandrya barbata"	"Melandrya barbata (Fabricius, 1787)"	"Mélandre à barbe"													"Déterminante stricte"
"*  Phryganophile à cou roux  ( Phryganophilus ruficollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Melandryidae"	223990	"Phryganophilus ruficollis"	"Phryganophilus ruficollis (Fabricius, 1798)"	"Phryganophile à cou roux"					"CDH2, CDH4"	" "	"NI2"	""					
"-  ( Pseudotriphyllus suturalis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Mycetophagidae"	224032	"Pseudotriphyllus suturalis"	"Pseudotriphyllus suturalis (Fabricius, 1801)"	""													"Déterminante stricte"
"-  ( Mycetophagus populi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Mycetophagidae"	224036	"Mycetophagus populi"	"Mycetophagus populi Fabricius, 1798"	""													"Déterminante stricte"
"-  ( Mycetophagus decempunctatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Mycetophagidae"	224038	"Mycetophagus decempunctatus"	"Mycetophagus decempunctatus Fabricius, 1801"	""													"Déterminante stricte"
"Clown triste  ( Pytho depressus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Pythidae"	224101	"Pytho depressus"	"Pytho depressus Linnaeus, 1767"	"Clown triste, Cardinal triste"													"Déterminante stricte"
"-  ( Dendrophagus crenatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Silvanidae"	224150	"Dendrophagus crenatus"	"Dendrophagus crenatus (Paykull, 1799)"	""													"Déterminante stricte"
"-  ( Mycetoma suturale )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tetratomidae"	224162	"Mycetoma suturale"	"Mycetoma suturale (Panzer, 1797)"	""													"Déterminante stricte"
"-  ( Eustrophus dermestoides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tetratomidae"	224165	"Eustrophus dermestoides"	"Eustrophus dermestoides (Fabricius, 1792)"	""													"Déterminante stricte"
"-  ( Tetratoma ancora )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tetratomidae"	224166	"Tetratoma ancora"	"Tetratoma ancora Fabricius, 1790"	""													"Déterminante stricte"
"-  ( Tetratoma baudueri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tetratomidae"	224167	"Tetratoma baudueri"	"Tetratoma baudueri Perris, 1864"	""													"Déterminante stricte"
"-  ( Tetratoma desmarestii )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Tetratomidae"	224168	"Tetratoma desmarestii"	"Tetratoma desmarestii Latreille, 1807"	""													"Déterminante stricte"
"-  ( Pycnomerus terebrans )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Zopheridae"	224192	"Pycnomerus terebrans"	"Pycnomerus terebrans (Olivier, 1790)"	""													"Déterminante stricte"
